video_id,split,label,frame_dir,audio_path
...the...bad...bitch_7008189277318302981,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\...the...bad...bitch_7008189277318302981,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\...the...bad...bitch_7008189277318302981.wav
..jgp__6967506972446903557,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\..jgp__6967506972446903557,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\..jgp__6967506972446903557.wav
.lilith.asami.2_7273896399433993480,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\.lilith.asami.2_7273896399433993480,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\.lilith.asami.2_7273896399433993480.wav
10h30.tong106thaithinh_7224744031518035205,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\10h30.tong106thaithinh_7224744031518035205,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\10h30.tong106thaithinh_7224744031518035205.wav
1991.music.dj_7053983190456765722,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1991.music.dj_7053983190456765722,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1991.music.dj_7053983190456765722.wav
199namm_7254949499859225861,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\199namm_7254949499859225861,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\199namm_7254949499859225861.wav
1life.anthonyblane_7283159583516790021,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1life.anthonyblane_7283159583516790021,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1life.anthonyblane_7283159583516790021.wav
1life.anthonyblane_7325491930031328517,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1life.anthonyblane_7325491930031328517,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1life.anthonyblane_7325491930031328517.wav
1life.anthonyblane_7349106675585928456,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1life.anthonyblane_7349106675585928456,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1life.anthonyblane_7349106675585928456.wav
1life.anthonyblane_7352444832087870727,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1life.anthonyblane_7352444832087870727,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1life.anthonyblane_7352444832087870727.wav
1life.anthonyblane_7355844029520694546,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1life.anthonyblane_7355844029520694546,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1life.anthonyblane_7355844029520694546.wav
1life.anthonyblane_7367371402330000658,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1life.anthonyblane_7367371402330000658,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1life.anthonyblane_7367371402330000658.wav
1life.anthonyblane_7368846422709521671,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\1life.anthonyblane_7368846422709521671,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\1life.anthonyblane_7368846422709521671.wav
79.q.t_7304113372805467393,train,Adult Content,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_frames_16\train\Adult Content\79.q.t_7304113372805467393,D:\ARYAN 3RD YEAR\SEM 6\MAJOR PROJECT\Multimodal_Content_Moderation\preprocessing\..\datasets\TikHarm_audio\train\Adult Content\79.q.t_7304113372805467393.wav
