video,frame_path,audio_path,label,audio_available
Abuse001_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse001_x264,datasets/UCF-Crime_audio\Abuse\Abuse001_x264.wav,Abuse,1
Abuse002_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse002_x264,,Abuse,0
Abuse003_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse003_x264,datasets/UCF-Crime_audio\Abuse\Abuse003_x264.wav,Abuse,1
Abuse004_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse004_x264,datasets/UCF-Crime_audio\Abuse\Abuse004_x264.wav,Abuse,1
Abuse005_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse005_x264,datasets/UCF-Crime_audio\Abuse\Abuse005_x264.wav,Abuse,1
Abuse006_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse006_x264,datasets/UCF-Crime_audio\Abuse\Abuse006_x264.wav,Abuse,1
Abuse007_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse007_x264,datasets/UCF-Crime_audio\Abuse\Abuse007_x264.wav,Abuse,1
Abuse008_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse008_x264,datasets/UCF-Crime_audio\Abuse\Abuse008_x264.wav,Abuse,1
Abuse009_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse009_x264,datasets/UCF-Crime_audio\Abuse\Abuse009_x264.wav,Abuse,1
Abuse010_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse010_x264,datasets/UCF-Crime_audio\Abuse\Abuse010_x264.wav,Abuse,1
Abuse011_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse011_x264,datasets/UCF-Crime_audio\Abuse\Abuse011_x264.wav,Abuse,1
Abuse012_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse012_x264,datasets/UCF-Crime_audio\Abuse\Abuse012_x264.wav,Abuse,1
Abuse013_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse013_x264,datasets/UCF-Crime_audio\Abuse\Abuse013_x264.wav,Abuse,1
Abuse014_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse014_x264,datasets/UCF-Crime_audio\Abuse\Abuse014_x264.wav,Abuse,1
Abuse015_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse015_x264,datasets/UCF-Crime_audio\Abuse\Abuse015_x264.wav,Abuse,1
Abuse016_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse016_x264,datasets/UCF-Crime_audio\Abuse\Abuse016_x264.wav,Abuse,1
Abuse017_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse017_x264,datasets/UCF-Crime_audio\Abuse\Abuse017_x264.wav,Abuse,1
Abuse018_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse018_x264,datasets/UCF-Crime_audio\Abuse\Abuse018_x264.wav,Abuse,1
Abuse019_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse019_x264,datasets/UCF-Crime_audio\Abuse\Abuse019_x264.wav,Abuse,1
Abuse020_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse020_x264,datasets/UCF-Crime_audio\Abuse\Abuse020_x264.wav,Abuse,1
Abuse021_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse021_x264,datasets/UCF-Crime_audio\Abuse\Abuse021_x264.wav,Abuse,1
Abuse022_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse022_x264,datasets/UCF-Crime_audio\Abuse\Abuse022_x264.wav,Abuse,1
Abuse023_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse023_x264,datasets/UCF-Crime_audio\Abuse\Abuse023_x264.wav,Abuse,1
Abuse024_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse024_x264,datasets/UCF-Crime_audio\Abuse\Abuse024_x264.wav,Abuse,1
Abuse025_x264,datasets/UCF-Crime_frames_16\Abuse\Abuse025_x264,datasets/UCF-Crime_audio\Abuse\Abuse025_x264.wav,Abuse,1
